id,name_en,name_local,country,lat,lon,radius_km,dishes,sources,is_modal,retrieved
Q647500,Korean cuisine,한국 요리,South Korea,36.00000,128.00000,179,bibimbap|bosintang|gochujang|hwajeon|bibim guksu|jokbal,https://www.wikidata.org/wiki/Q647500|https://en.wikipedia.org/wiki/Korean_cuisine|https://ko.wikipedia.org/wiki/%ED%95%9C%EA%B5%AD_%EC%9A%94%EB%A6%AC,,2026-08-22
Q1261477,English cuisine,English cuisine,United Kingdom,54.60000,-2.00000,278,fish and chips|macaroni and cheese|crème anglaise|clotted cream|pie and mash|angels on horseback,https://www.wikidata.org/wiki/Q1261477|https://en.wikipedia.org/wiki/English_cuisine|https://en.wikipedia.org/wiki/English_cuisine,,2026-08-22
Q10286142,fucha ryōri,普茶料理,Japan,35.00000,136.00000,347,Kōfuku-ji Temple|Manpuku-ji Temple|Shōtai-ji Temple|Saigan-ji Temple,https://www.wikidata.org/wiki/Q10286142|https://ja.wikipedia.org/wiki/%E6%99%AE%E8%8C%B6%E6%96%99%E7%90%86,,2026-08-22
Q12480249,Acehnese cuisine,Hidangan Aceh,Indonesia,5.57028,95.34078,136,sale pisang|mie aceh|timphan|ayam tangkap|kuwah itek|kuwah eungkôt yèe,https://www.wikidata.org/wiki/Q12480249|https://en.wikipedia.org/wiki/Acehnese_cuisine|https://id.wikipedia.org/wiki/Hidangan_Aceh,,2026-08-22
Q17176916,cuisine of Brussels,cuisine de Bruxelles,Belgium,50.64111,4.66806,99,Au Stekerlapatte|Au vieux Bruxelles|Zenne pot,https://www.wikidata.org/wiki/Q17176916|https://en.wikipedia.org/wiki/Cuisine_of_Brussels|https://fr.wikipedia.org/wiki/Cuisine_bruxelloise,,2026-08-22
Q1572982,Bengali cuisine,बंगाली खाना,India,22.80000,83.00000,600,chutney|pilaf|roti|chicken biryani|Sarbhaja|Beef bhuna,https://www.wikidata.org/wiki/Q1572982|https://en.wikipedia.org/wiki/Bengali_cuisine|https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%97%E0%A4%BE%E0%A4%B2%E0%A5%80_%E0%A4%96%E0%A4%BE%E0%A4%A8%E0%A4%BE,,2026-08-22
Q1897293,Scottish cuisine,Scottish cuisine,United Kingdom,54.60000,-2.00000,278,haggis|lorne sausage|rumbledethumps|Scotch broth|cock-a-leekie soup|Mince and tatties,https://www.wikidata.org/wiki/Q1897293|https://en.wikipedia.org/wiki/Scottish_cuisine|https://en.wikipedia.org/wiki/Scottish_cuisine,,2026-08-22
Q62458,Israeli cuisine,המטבח הישראלי,Israel,31.00000,35.00000,81,hummus|taboon bread|baba ghanoush|Ptitim|Lahoh|sufganiyah,https://www.wikidata.org/wiki/Q62458|https://en.wikipedia.org/wiki/Israeli_cuisine|https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%98%D7%91%D7%97_%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99,,2026-08-22
Q175595,kaiseki,懐石,Japan,35.00000,136.00000,347,Ginza Kojyu|Hyotei|n/naka|Mizai|Kaiseki Yu-zen Hashimoto,https://www.wikidata.org/wiki/Q175595|https://en.wikipedia.org/wiki/Kaiseki|https://ja.wikipedia.org/wiki/%E6%87%90%E7%9F%B3,,2026-08-22
Q6661,French cuisine,cuisine française,France,47.00000,2.00000,453,Cervelle de canut|pot-au-feu|sauce lyonnaise|Lyonnaise potatoes|andouillette|Kig ha farz,https://www.wikidata.org/wiki/Q6661|https://en.wikipedia.org/wiki/French_cuisine|https://fr.wikipedia.org/wiki/Cuisine_fran%C3%A7aise,,2026-08-22
Q6596722,Seoul cuisine,서울 요리,South Korea,36.00000,128.00000,179,seolleongtang|Delimanjoo|Dak-hanmari,https://www.wikidata.org/wiki/Q6596722|https://en.wikipedia.org/wiki/List_of_Seoul_dishes|https://ko.wikipedia.org/wiki/%EC%84%9C%EC%9A%B8_%EC%9A%94%EB%A6%AC,,2026-08-22
Q7601803,Maharashtrian cuisine,मराठी खाना,India,22.80000,83.00000,600,Vada pav|Pav bhaji|Usal|Waran Phale|Masala bhat,https://www.wikidata.org/wiki/Q7601803|https://en.wikipedia.org/wiki/Maharashtrian_cuisine|https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A4%B0%E0%A4%BE%E0%A4%A0%E0%A5%80_%E0%A4%96%E0%A4%BE%E0%A4%A8%E0%A4%BE,,2026-08-22
Q1071405,Uruguayan cuisine,culinária do Uruguai,Uruguay,-33.00000,-56.00000,237,Puchero|dulce de batata|Caruso sauce|Brasa Charrúa Parrillada Uruguaya,https://www.wikidata.org/wiki/Q1071405|https://en.wikipedia.org/wiki/Uruguayan_cuisine,,2026-08-22
Q1072146,Ghanaian cuisine,Ghanaian cuisine,Ghana,7.94650,-1.02320,276,La Tante DC 10 Restaurant|omo tuo|Akadi,https://www.wikidata.org/wiki/Q1072146|https://en.wikipedia.org/wiki/Ghanaian_cuisine|https://en.wikipedia.org/wiki/Ghanaian_cuisine,,2026-08-22
Q1089120,Pakistani cuisine,پاکستانی پکوان,Pakistan,30.00000,71.00000,530,thali|falooda|Pakistani rice dishes|zarda|Tandoori roti|Reshmi kabab,https://www.wikidata.org/wiki/Q1089120|https://en.wikipedia.org/wiki/Pakistani_cuisine|https://ur.wikipedia.org/wiki/%D9%BE%D8%A7%DA%A9%D8%B3%D8%AA%D8%A7%D9%86%DB%8C_%D9%BE%DA%A9%D9%88%D8%A7%D9%86,,2026-08-22
Q1148243,Senegalese cuisine,cuisine sénégalaise,Senegal,14.36667,-14.28333,250,Yassa (edziban)|Lyon Dakar|Bouye Juice,https://www.wikidata.org/wiki/Q1148243|https://en.wikipedia.org/wiki/Senegalese_cuisine|https://fr.wikipedia.org/wiki/Cuisine_s%C3%A9n%C3%A9galaise,,2026-08-22
Q1149423,Venezuelan cuisine,gastronomía de Venezuela,Venezuela,8.00000,-67.00000,539,arepa|Tequeño|Arepado|Venezuelan restaurant,https://www.wikidata.org/wiki/Q1149423|https://en.wikipedia.org/wiki/Venezuelan_cuisine|https://es.wikipedia.org/wiki/Gastronom%C3%ADa_de_Venezuela,,2026-08-22
Q1154594,Palestinian cuisine,cuisine palestinienne,Palestine,31.62532,35.14526,150,musakhan|taboon bread|kibbeh|Jibneh Arabieh|maqluba|vine leaf roll,https://www.wikidata.org/wiki/Q1154594|https://en.wikipedia.org/wiki/Palestinian_cuisine,,2026-08-22
Q1156753,Mongolian cuisine,Монгол хоол,Mongolia,46.00000,105.00000,600,Buuz|borts|Dalan|tsuivan|Bar-B-Q Plaza|dough-sealed soup,https://www.wikidata.org/wiki/Q1156753|https://en.wikipedia.org/wiki/Mongolian_cuisine|https://mn.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BD%D0%B3%D0%BE%D0%BB_%D1%85%D0%BE%D0%BE%D0%BB,,2026-08-22
