id,list,name,country
02329,USL,Art of crafting and playing Kobyz,Uzbekistan
02310,USL,Art of playing singing and making the lahuta,Albania
02328,USL,Boreendo Bhorindo: ancient dying folk musical instrument its melodies knowledge and skills,Pakistan
02300,USL,Construction processes of the quincha house and the junta de embarre / embarra,Panama
01737,USL,Craft of making Đông Hồ Folk woodblock printings,Viet Nam
02332,USL,Moliceiro boat: naval carpentry art of the Aveiro region,Portugal
02297,USL,Mwazindika spiritual dance of the Daida community of Kenya,Kenya
02159,USL,Ñai'ũpo art ancestral ceramic craftsmanship,Paraguay
02088,USL,Negliubka textile tradition of Vetka District Gomel Region,Belarus
02316,USL,The practice of making Asin Tibuok the artisanal sea salt of the Boholano of Bohol Island Philippines,Philippines
02307,USL,The social and cultural traditions associated with landships in Barbados,Barbados
02279,RL,Al Ahalla a living performing art in the United Arab Emirates,United Arab Emirates
02223,RL,Al Sadu traditional weaving skills in the United Arab Emirates,United Arab Emirates
02275,RL,Al-Jertiq: practices rituals and expressions for preservation protection abundance and fertility in Sudan,Sudan
02276,RL,Al-Mihrass tree: knowledge skills and rituals associated with it,Jordan
02244,RL,Al-Muhaibis: social practices and traditions associated with it,Iraq
02246,RL,Amateur theatre acting in Czechia,Czechia
02294,RL,Antep İşi drawn thread embroidery of Gaziantep,Türkiye
02261,RL,Arabic Kohl,Syrian Arab Republic
02261,RL,Arabic Kohl,Iraq
02261,RL,Arabic Kohl,Jordan
02261,RL,Arabic Kohl,Libya
02261,RL,Arabic Kohl,Oman
02261,RL,Arabic Kohl,State of Palestine
02261,RL,Arabic Kohl,Saudi Arabia
02261,RL,Arabic Kohl,Tunisia
02261,RL,Arabic Kohl,United Arab Emirates
02319,RL,Ayeneh-Kari the art of mirror-work in Persian architecture,Iran (Islamic Republic of)
02265,RL,Bagpipes and bagpipe playing in Bulgaria: transmission of knowledge and skills,Bulgaria
02230,RL,Basketry traditions,Poland
02267,RL,Behzad's style of miniature art,Afghanistan
02233,RL,Bisht (men's Abaa): skills and practices,Qatar
02233,RL,Bisht (men's Abaa): skills and practices,Bahrain
02233,RL,Bisht (men's Abaa): skills and practices,Iraq
02233,RL,Bisht (men's Abaa): skills and practices,Jordan
02233,RL,Bisht (men's Abaa): skills and practices,Kuwait
02233,RL,Bisht (men's Abaa): skills and practices,Oman
02233,RL,Bisht (men's Abaa): skills and practices,Saudi Arabia
02233,RL,Bisht (men's Abaa): skills and practices,Syrian Arab Republic
02233,RL,Bisht (men's Abaa): skills and practices,United Arab Emirates
02313,RL,Brussels' rod marionette tradition,Belgium
02298,RL,Christmas Bram and Sambai of Gales Point Manatee Belize,Belize
02262,RL,Cobza traditional knowledge skills and music,Romania
02262,RL,Cobza traditional knowledge skills and music,Republic of Moldova
02288,RL,Commandaria wine,Cyprus
02243,RL,Cuarteto: music dance and lyrics in the city of Córdoba Argentina,Argentina
02336,RL,Culture of Sumanak/Sumalak cooking,Tajikistan
02312,RL,Deepavali,India
02271,RL,Family tradition circus in Chile,Chile
02306,RL,Festivity of the Virgen of Guadalupe - Patroness of Sucre,Bolivia (Plurinational State of)
02335,RL,Georgian wheat culture: traditions and rituals,Georgia
02315,RL,Gifaataa Wolaita people New Year festival,Ethiopia
02260,RL,Guruna a practice of pastoral socio-cultural and artistic retreats centered on livestock among the Massa,Chad
02260,RL,Guruna a practice of pastoral socio-cultural and artistic retreats centered on livestock among the Massa,Cameroon
02232,RL,Hadrami Dan gathering,Yemen
02224,RL,Hezhen Yimakan storytelling,China
02141,RL,Highlife music and dance,Ghana
02093,RL,Italian cooking between sustainability and biocultural diversity,Italy
02092,RL,Joropo in Venezuela,Venezuela (Bolivarian Republic of)
02318,RL,Kithul Madeema/Kithul Kapeema an ancient indigenous technology for tapping Kithul in Sri Lanka,Sri Lanka
02278,RL,Koshary daily life dish and practices associated with it,Egypt
02077,RL,Moroccan Caftan: art traditions and skills,Morocco
02253,RL,Mvet Oyeng musical art practices and skills associated with the Ekang community,Gabon
02253,RL,Mvet Oyeng musical art practices and skills associated with the Ekang community,Cameroon
02253,RL,Mvet Oyeng musical art practices and skills associated with the Ekang community,Congo
02274,RL,Pantun,Indonesia
02274,RL,Pantun,Malaysia
02274,RL,Pantun,Brunei Darussalam
02237,RL,Representation of the Passion Death and Resurrection of Christ in Iztapalapa,Mexico
02071,RL,Sarawja Aimara music and dance of Moquegua,Peru
02249,RL,Swimming pool culture in Iceland,Iceland
02309,RL,Tchiloli living theatre of Sao Tome and Principe in the quest of justice,Sao Tome and Principe
02269,RL,The art of breeding Turkmen alabay,Turkmenistan
02241,RL,The bearing of the sacred stone or the rites of the New Year in the Guin country in Togo,Togo
02273,RL,The Compas of Haiti,Haiti
02240,RL,The Confraternity of flowers and palms,El Salvador
02281,RL,The Diwaniya a unifying cultural practice in Kuwait,Kuwait
02299,RL,The practice of Cuban Son,Cuba
02283,RL,The zaffa in the traditional wedding,Djibouti
02283,RL,The zaffa in the traditional wedding,Comoros
02283,RL,The zaffa in the traditional wedding,United Arab Emirates
02283,RL,The zaffa in the traditional wedding,Iraq
02283,RL,The zaffa in the traditional wedding,Jordan
02283,RL,The zaffa in the traditional wedding,Mauritania
02283,RL,The zaffa in the traditional wedding,Somalia
02123,RL,Traditional knowledge and cultural contexts of making Maksym a traditional Kyrgyz beverage,Kyrgyzstan
02284,RL,Traditional knowledge and skills in making Kyrgyz Kazakh and Karakalpak yurts (Turkic nomadic dwellings),Kazakhstan
02284,RL,Traditional knowledge and skills in making Kyrgyz Kazakh and Karakalpak yurts (Turkic nomadic dwellings),Kyrgyzstan
02284,RL,Traditional knowledge and skills in making Kyrgyz Kazakh and Karakalpak yurts (Turkic nomadic dwellings),Uzbekistan
02322,RL,Traditional Saree weaving art of Tangail,Bangladesh
02293,RL,Traditional skills techniques and knowledge for the conservation and transmission of wooden architecture in Japan,Japan
02158,RL,Traditional weaving of Al Sadu,Saudi Arabia
02158,RL,Traditional weaving of Al Sadu,Kuwait
02158,RL,Traditional weaving of Al Sadu,Qatar
02272,RL,Tsapiky rhythm and musical style characteristic of the South-West region of Madagascar,Madagascar
02291,RL,Washi craftsmanship of traditional Japanese hand-made paper,Japan
02292,RL,Yama Hoko Yatai float festivals in Japan,Japan
02287,RL,Yodelling,Switzerland
02314,BSP,Community safeguarding and documenting of the 'Lastovo Poklad' carnival custom,Croatia
02473,BSP,Safeguarding programme for Al Sadu traditional weaving skills in the United Arab Emirates,United Arab Emirates
02474,BSP,Safeguarding programme for Hezhen Yimakan storytelling,China
01969,USL,Reog Ponorogo performing art,Indonesia
02117,USL,Wosana ritual and associated practices,Botswana
02111,RL,Arabic coffee a symbol of generosity,United Arab Emirates
02111,RL,Arabic coffee a symbol of generosity,Oman
02111,RL,Arabic coffee a symbol of generosity,Qatar
02111,RL,Arabic coffee a symbol of generosity,Saudi Arabia
02111,RL,Arabic coffee a symbol of generosity,Jordan
02143,RL,Art of crafting and playing rubab/rabab,Afghanistan
02143,RL,Art of crafting and playing rubab/rabab,Iran (Islamic Republic of)
02143,RL,Art of crafting and playing rubab/rabab,Tajikistan
02143,RL,Art of crafting and playing rubab/rabab,Uzbekistan
02106,RL,Art of dry stone construction knowledge and techniques,Croatia
02106,RL,Art of dry stone construction knowledge and techniques,Cyprus
02106,RL,Art of dry stone construction knowledge and techniques,France
02106,RL,Art of dry stone construction knowledge and techniques,Greece
02106,RL,Art of dry stone construction knowledge and techniques,Italy
02106,RL,Art of dry stone construction knowledge and techniques,Slovenia
02106,RL,Art of dry stone construction knowledge and techniques,Spain
02106,RL,Art of dry stone construction knowledge and techniques,Switzerland
02106,RL,Art of dry stone construction knowledge and techniques,Andorra
02106,RL,Art of dry stone construction knowledge and techniques,Austria
02106,RL,Art of dry stone construction knowledge and techniques,Belgium
02106,RL,Art of dry stone construction knowledge and techniques,Ireland
02106,RL,Art of dry stone construction knowledge and techniques,Luxembourg
01959,RL,Asturian cider culture,Spain
01746,RL,Betashar traditional wedding ritual,Kazakhstan
02113,RL,Breakfast culture in Malaysia: dining experience in a multi-ethnic society,Malaysia
02144,RL,Ceremony of Mehregan,Tajikistan
02144,RL,Ceremony of Mehregan,Iran (Islamic Republic of)
02081,RL,Cooking and eating Mulgi puder traditional mashed potato with barley in the Mulgimaa region Estonia,Estonia
02132,RL,Craftsmanship of Aleppo Ghar soap,Syrian Arab Republic
02130,RL,Craftsmanship of traditional woven textile Kente,Ghana
01892,RL,Csárdás dance tradition,Hungary
02131,RL,Cultural practices and expressions linked to Balafon and Kolintang in Mali Burkina Faso Côte d'Ivoire and Indonesia,Mali
02131,RL,Cultural practices and expressions linked to Balafon and Kolintang in Mali Burkina Faso Côte d'Ivoire and Indonesia,Burkina Faso
02131,RL,Cultural practices and expressions linked to Balafon and Kolintang in Mali Burkina Faso Côte d'Ivoire and Indonesia,Côte d'Ivoire
02131,RL,Cultural practices and expressions linked to Balafon and Kolintang in Mali Burkina Faso Côte d'Ivoire and Indonesia,Indonesia
02115,RL,Cultural practices and expressions linked to Krama a traditional woven textile in Cambodia,Cambodia
02089,RL,Cultural practices related to Taif roses,Saudi Arabia
02096,RL,Custom of Korean costume: traditional knowledge skills and social practices in the Democratic People's Republic of Korea,Democratic People’s Republic of Korea
01895,RL,Durbar in Kano,Nigeria
02079,RL,Equestrian art in Portugal,Portugal
01999,RL,Festival of Bà Chúa Xứ Goddess at Sam Mountain,Viet Nam
02099,RL,Fonelamvonglao (lamvonglao),Lao People's Democratic Republic
02108,RL,Funfair culture,Belgium
02108,RL,Funfair culture,France
02128,RL,Guarania sound of Paraguayan soul,Paraguay
02116,RL,Henna: rituals aesthetic and social practices,United Arab Emirates
02116,RL,Henna: rituals aesthetic and social practices,Algeria
02116,RL,Henna: rituals aesthetic and social practices,Bahrain
02116,RL,Henna: rituals aesthetic and social practices,Egypt
02116,RL,Henna: rituals aesthetic and social practices,Iraq
02116,RL,Henna: rituals aesthetic and social practices,Jordan
02116,RL,Henna: rituals aesthetic and social practices,Kuwait
02116,RL,Henna: rituals aesthetic and social practices,Mauritania
02116,RL,Henna: rituals aesthetic and social practices,Morocco
02116,RL,Henna: rituals aesthetic and social practices,Oman
02116,RL,Henna: rituals aesthetic and social practices,State of Palestine
02116,RL,Henna: rituals aesthetic and social practices,Qatar
02116,RL,Henna: rituals aesthetic and social practices,Saudi Arabia
02116,RL,Henna: rituals aesthetic and social practices,Sudan
02116,RL,Henna: rituals aesthetic and social practices,Tunisia
02116,RL,Henna: rituals aesthetic and social practices,Yemen
02129,RL,Intore,Rwanda
01881,RL,K'cimi dancing of Tropojë,Albania
02090,RL,Kebaya: knowledge skills traditions and practices,Brunei Darussalam
02090,RL,Kebaya: knowledge skills traditions and practices,Indonesia
02090,RL,Kebaya: knowledge skills traditions and practices,Malaysia
02090,RL,Kebaya: knowledge skills traditions and practices,Singapore
02090,RL,Kebaya: knowledge skills traditions and practices,Thailand
01975,RL,Knowledge beliefs and practices related to jang making in the Republic of Korea,Republic of Korea
01887,RL,Living pictures of Galeras Sucre,Colombia
01855,RL,Mangwengwe dance,Zambia
02100,RL,Manual bell ringing,Spain
02100,RL,Manual bell ringing,Italy
02101,RL,Messosporitissa Festivity (All-holy Mother of God of the Mid-Sowing Season Festivity) Feast of Our Lady at the Ancient Ruins,Greece
02091,RL,Mongol nomad migration and its associated practices,Mongolia
02085,RL,Myanmar traditional New Year Atā Thingyan festival,Myanmar
02104,RL,Naïve painting practices of Kovačica,Serbia
02097,RL,Nawrouz Novruz Nowrouz Nowrouz Nawrouz Nauryz Nooruz Nowruz Navruz Nevruz Nowruz Navruz,Afghanistan
